Smiles,Inchi Key
CN[C@@H](C)C(=O)N[C@H](C(=O)N1CCC[C@H]1C(=O)Nc1snnc1-c1ccccc1)C1CCCCC1,WZRFLSDVFPIXOV-LRQRDZAKSA-N
COc1cc2c(CCNC(C)=O)c[nH]c2cc1Cl,LUINDDOUWHRIPW-UHFFFAOYSA-N
CC(C)(N)CC12CC3CC(CC(C3)C1)C2,OWKXRDQRMTVCEX-UHFFFAOYSA-N
O=C(c1cncc(Br)c1)N1CCC(N2CCCC2)CC1,CQERVFFAOOUFEQ-UHFFFAOYSA-N
COc1ccc2[nH]c(C(=O)c3ccccc3)cc2c1,ICMIJSRDISNKOC-UHFFFAOYSA-N
Cc1nc[nH]c1CN1CCc2c(c3ccccc3n2C)C1=O,JSWZEAMFRNKZNL-UHFFFAOYSA-N
CCCCCCCCCCCCCCCC(=O)Nc1ccn([C@@H]2O[C@H](CO)[C@@H](O)[C@@H]2C#N)c(=O)n1,LBGFKUUHOPIEMA-PEARBKPGSA-N
C=CC(=O)Nc1cccc(Nc2nc(Nc3ccc(Oc4ccnc(C(=O)NC)c4)cc3)ncc2F)c1,VVLHQJDAUIPZFH-UHFFFAOYSA-N
CN1CCC[C@@H]1Cc1c[nH]c2ccc(CCS(=O)(=O)c3ccccc3)cc12,PWVXXGRKLHYWKM-LJQANCHMSA-N
CC(C)OC(=O)CNC(=O)[C@H](CS)NC(=O)CC[C@H](N)C(=O)O,MVNCPACIPXNJIW-IUCAKERBSA-N
Cc1cc(Cl)ccc1OCCCC(=O)NO,JHSXDAWGLCZYSM-UHFFFAOYSA-N
Cn1cc(-c2ccc3nnc(C(F)(F)c4ccc5ncccc5c4)n3n2)cn1,JRWCBEOAFGHNNU-UHFFFAOYSA-N
C[C@@H](NC(=O)c1ncnc(N)c1Cl)c1ncc(C(=O)Nc2cc(C(F)(F)F)c(Cl)cn2)s1,VWMJHAFYPMOMGF-ZCFIWIBFSA-N
COc1cc(Nc2ncc(F)c(Nc3ccc4c(n3)N(COP(=O)(O)O)C(=O)C(C)(C)O4)n2)cc(OC)c1OC,GKDRMWXFWHEQQT-UHFFFAOYSA-N
O=C/C=C/c1ccccc1,KJPRLNWUNMBNBZ-QPJJXVBHSA-N
Cc1cc(/C=C2\SC(=O)N(c3ccccc3)C2=O)c(C)n1-c1cccnc1,NCSHZXNGQYSKLR-UNOMPAQXSA-N
CNC(=O)c1cccc(-c2ccc3c(N4CCOC[C@@H]4C)nc(N4CCOC[C@@H]4C)nc3n2)c1,JUSFANSTBFGBAF-IRXDYDNUSA-N
CN1CCc2cccc3c2[C@H]1Cc1ccc(O)c(O)c1-3,VMWNQDUVQKEIOC-CYBMUJFWSA-N
C[n+]1c2cc(N)ccc2cc2ccc(N)cc21,XSIOKTWDEOJMGG-UHFFFAOYSA-O
Cc1c(O)c(=O)ccn1C,TZXKOCQBRNJULO-UHFFFAOYSA-N
CN(C)C(=O)COC(=O)Cc1ccc(OC(=O)c2ccc(NC(=N)N)cc2)cc1,XASIMHXSUQUHLV-UHFFFAOYSA-N
CCCCc1ccc(O)cc1O,CSHZYWUPJWVTMQ-UHFFFAOYSA-N
NC(=O)c1ccc([N+](=O)[O-])cc1Cl,GFGSZUNNBQXGMK-UHFFFAOYSA-N
O=C(O)COc1ccc(OCCNC[C@H](O)COc2ccccc2)cc1,MXWICZOXPUWAHY-HNNXBMFYSA-N
CCCCN(CCCC)CCCOC(=O)c1ccc(N)cc1,HQFWVSGBVLEQGA-UHFFFAOYSA-N
Nc1nc(N)c2nc(-c3cccc(O)c3)cnc2n1,UOORQSPLBHUQDQ-UHFFFAOYSA-N
Fc1ccc(CN2CCC(Nc3ccc(C(F)(F)F)nn3)CC2)cc1F,UVUYWJWYRLJHEN-UHFFFAOYSA-N
CN1CCN(CCCN2c3ccccc3Sc3ccc(Cl)cc32)CC1,WIKYUJGCLQQFNW-UHFFFAOYSA-N
C=CC(=O)Nc1cccc(Sc2nc(Nc3ccc(N4CCN(C)CC4)cc3)ncc2Cl)c1,KIISCIGBPUVZBF-UHFFFAOYSA-N
CC(C)N(CCCNC(=O)Nc1ccc(C(C)(C)C)cc1)C[C@H]1O[C@@H](n2cc(Br)c3c(N)ncnc32)[C@H](O)[C@@H]1O,IQCKJUKAQJINMK-HUBRGWSESA-N
